رقم التكليف,المقر,تاريخ القياس,نظام القياس ,المحول,اتجاه السكينة,قدرةالسكينة,قياس التيار R,قياس التيار S,قياس التيار T,قياس التيار N,الجهد بين الفازات RS,الجهد بين الفازات RT,الجهد بين الفازات ST,الجهد بين الفازات RN,الجهد بين الفازات SN,الجهد بين الفازات TN
3140,الوسطى,31/07/2023,صيفي,النجار (البصة) جامع الرباط,جنوبي,630,133,160,120,76,381,388,389,222,223,227
3164,الوسطى,05/07/2023,صيفي,النجار (البصة) جامع الرباط,شمالي,630,40,80,45,35,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,النجار (البصة) جامع الرباط,غربي,630,20,10,5,15,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,النجار (البصة) جامع الرباط,جنوبي,630,130,90,60,60,400,400,400,230,230,230
3140,الوسطى,31/07/2023,صيفي,النخالة,شمالي,630,106,100,78,30,376,369,378,215,218,221
3140,الوسطى,31/07/2023,صيفي,النخالة,شرقي,630,15,17,38,28,376,369,378,215,218,221
3140,الوسطى,31/07/2023,صيفي,النخالة,غربي,630,78,47,76,24,376,369,378,215,218,221
3140,الوسطى,31/07/2023,صيفي,النخالة,جنوبي,630,99,40,55,58,376,369,378,215,218,221
3156,الوسطى,02/08/2023,صيفي,الهباش,شمالي,400,21,40,35,0,390,385,390,225,228,228
3156,الوسطى,02/08/2023,صيفي,الهباش,غربي,400,70,112,50,0,390,385,390,225,228,225
3156,الوسطى,02/08/2023,صيفي,الهباش,جنوبي,400,45,60,40,0,390,385,390,225,228,225
3156,الوسطى,02/08/2023,صيفي,الهباش,غربي اضافية,630,135,150,93,0,390,385,390,225,228,225
3049,الوسطى,11/07/2023,صيفي,أبو عريف 1,لوحة سكادا ض.م,400,73,122,91,54,376,383,385,220,223,219
3049,الوسطى,11/07/2023,صيفي,أبو عريف 1,لوحة سكادا ض.م,400,35,42,43,4,376,383,385,220,223,219
3049,الوسطى,11/07/2023,صيفي,أبو عريف 1,لوحة سكادا ض.م,400,112,143,194,60,376,383,385,220,223,219
3049,الوسطى,11/07/2023,صيفي,أبو عريف 1,لوحة سكادا ض.م,400,45,65,78,40,376,383,385,220,223,219
3049,الوسطى,11/07/2023,صيفي,أبوعريف 2,لوحة سكادا ض.م,400,86,50,76,43,388,392,395,225,225,228
3049,الوسطى,11/07/2023,صيفي,أبوعريف 2,لوحة سكادا ض.م,400,80,56,62,26,388,392,395,225,225,228
3049,الوسطى,11/07/2023,صيفي,أبوعريف 2,لوحة سكادا ض.م,400,115,111,91,33,388,392,395,225,225,228
3049,الوسطى,11/07/2023,صيفي,أبوعريف 2,لوحة سكادا ض.م,400,29,61,80,43,388,392,395,225,225,228
3153,الوسطى,03/08/2023,صيفي,بابور الطحين,شرقي,630,115,116,140,70,390,390,382,220,223,227
3153,الوسطى,03/08/2023,صيفي,بابور الطحين,غربي,630,10,15,40,30,390,390,382,220,223,227
3153,الوسطى,03/08/2023,صيفي,بابور الطحين,جنوبي,630,140,150,150,45,390,390,382,220,223,227
3156,الوسطى,02/08/2023,صيفي,برج ابو سمرة ارضي,1,400,9,22,20,13,384,378,384,219,219,218
3156,الوسطى,02/08/2023,صيفي,برج ابو سمرة ارضي,2,400,19,15,17,6,384,378,384,219,219,218
3156,الوسطى,02/08/2023,صيفي,برج ابو سمرة ارضي,3,400,27,30,23,21,384,378,384,219,219,218
3156,الوسطى,02/08/2023,صيفي,برج فلسطين 2+3,شمالي,630,10,0,0,2,384,376,391,219,222,219
3156,الوسطى,02/08/2023,صيفي,برج فلسطين 2+3,شرقي,630,120,130,100,60,384,376,391,219,222,219
3156,الوسطى,02/08/2023,صيفي,برج فلسطين 2+3,غربي,630,35,50,30,33,384,376,391,219,222,219
3156,الوسطى,02/08/2023,صيفي,برج فلسطين 2+3,جنوبي,400,113,140,100,35,384,376,391,219,222,219
3156,الوسطى,02/08/2023,صيفي,برج ماضي,شمالي,400,93,170,150,55,378,376,370,218,215,218
3034,الوسطى,09/07/2023,صيفي,بلاستيكو,شمالي,400,61,10,60,47,371,381,378,217,216,220
3034,الوسطى,09/07/2023,صيفي,بلاستيكو,شرقي,400,68,57,78,0,371,381,378,217,216,22
3034,الوسطى,09/07/2023,صيفي,بلاستيكو,جنوبي,400,107,134,95,35,371,381,378,217,216,220
3179,الوسطى,08/08/2023,صيفي,بنك فلسطين - دير البلح,شمالي,400,41,32,32,12,375,375,374,215,214,215
3179,الوسطى,08/08/2023,صيفي,بنك فلسطين - دير البلح,شرقي,400,0,0,0,0,375,375,374,215,214,215
3223,الوسطى,17/08/2023,صيفي,بنك فلسطين (الزهراء),شمالي,630,58,50,56,0,413,411,412,231,232,233
3223,الوسطى,17/08/2023,صيفي,بنك فلسطين (الزهراء),شرقي,250,10,14,15,10,413,411,412,231,232,233
3039,الوسطى,11/07/2023,صيفي,بئر مياه دير البلح 4,شمالي,400,111,78,83,0,382,383,380,218,219,217
3039,الوسطى,11/07/2023,صيفي,بئر مياه دير البلح 4,شرقي,400,50,50,47,1,382,383,380,218,219,217
3039,الوسطى,11/07/2023,صيفي,بئر مياه دير البلح 5,شمالي,400,87,71,140,0,402,400,397,232,230,233
3039,الوسطى,11/07/2023,صيفي,بئر مياه دير البلح 5,شرقي,630,150,88,119,0,402,400,397,230,230,233
3039,الوسطى,11/07/2023,صيفي,بئر مياه دير البلح 5,غربي,630,2,2,2,10,402,400,397,233,230,233
3039,الوسطى,11/07/2023,صيفي,بئر مياه دير البلح 6,غربي,250,1,3,1,0,387,391,390,223,225,228
3249,الوسطى,27/08/2023,صيفي,تحلية البصة - ارضي,1,400,615,554,518,0,400,400,400,230,230,230
3249,الوسطى,27/08/2023,صيفي,تحلية البصة - هوائي,شمالي,400,0,0,0,0,411,411,411,223,223,223
