رقم التكليف,المقر,تاريخ القياس,نظام القياس ,المحول,اتجاه السكينة,قدرةالسكينة,قياس التيار R,قياس التيار S,قياس التيار T,قياس التيار N,الجهد بين الفازات RS,الجهد بين الفازات RT,الجهد بين الفازات ST,الجهد بين الفازات RN,الجهد بين الفازات SN,الجهد بين الفازات TN
3093,الوسطى,19/07/2023,صيفي,عمارة صيام - دير البلح,غربي,630,30,120,22,92,375,376,375,217,216,217
3093,الوسطى,19/07/2023,صيفي,عمارة صيام - دير البلح,جنوبي,400,20,31,13,15,375,376,375,217,216,217
3179,الوسطى,08/08/2023,صيفي,عيادة الوكالة - دير البلح ,شمالي,250,25,20,3,25,390,390,391,225,225,225
3179,الوسطى,08/08/2023,صيفي,عيادة الوكالة - دير البلح ,غربي,630,120,95,100,35,390,390,391,225,225,225
3179,الوسطى,08/08/2023,صيفي,فقاسة صافي ,غربي,250,85,90,85,6,390,390,390,225,225,225
3179,الوسطى,08/08/2023,صيفي,فقاسة عفانة,جنوبي,400,45,45,43,3,390,391,390,215,215,214
3086,الوسطى,17/07/2023,صيفي,قصر ابو سليم,شمالي,630,130,130,160,30,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,قصر ابو سليم,شرقي,400,130,160,150,30,400,400,400,230,230,230
3086,الوسطى,17/07/2023,صيفي,قصر ابو سليم,جنوبي,630,120,50,115,55,400,400,400,230,230,230
3034,الوسطى,09/07/2023,صيفي,قوات ال17,شرقي,400,106,105,70,36,400,400,400,230,230,230
3034,الوسطى,09/07/2023,صيفي,قوات ال17,غربي,400,227,164,146,51,400,400,400,230,230,230
3153,الوسطى,03/08/2023,صيفي,كلية فلسطين التقنية - خاص,شرقي اضافية,630,170,220,100,105,360,369,370,215,215,214
3153,الوسطى,03/08/2023,صيفي,كلية فلسطين التقنية - سكان,شمالي,630,195,100,150,85,357,357,357,210,212,210
3153,الوسطى,03/08/2023,صيفي,كلية فلسطين التقنية - سكان,غربي,630,150,130,145,37,357,357,357,210,212,210
3153,الوسطى,03/08/2023,صيفي,كلية فلسطين التقنية - سكان,جنوبي,630,60,75,90,40,357,357,357,210,212,210
3165,الوسطى,06/08/2023,صيفي,محطة غاز ابو سليم,شمالي,630,50,90,77,40,370,377,379,212,214,222
3165,الوسطى,06/08/2023,صيفي,محطة غاز ابو سليم,غربي,630,23,24,24,13,370,377,379,212,214,222
3165,الوسطى,06/08/2023,صيفي,محطة غاز ابو سليم,جنوبي,630,20,20,12,0,370,377,379,212,214,222
3153,الوسطى,03/08/2023,صيفي,محلات عكاشة ,شرقي,630,60,130,30,51,390,391,384,220,222,226
3153,الوسطى,03/08/2023,صيفي,محلات عكاشة ,غربي,630,70,130,76,40,390,391,384,220,222,226
3093,الوسطى,19/07/2023,صيفي,مخبز الهداية,شرقي,630,15,55,45,36,373,383,380,217,217,217
3093,الوسطى,19/07/2023,صيفي,مخبز الهداية,غربي,400,52,52,49,23,383,383,380,217,217,217
3093,الوسطى,19/07/2023,صيفي,مخبز الهداية,جنوبي,630,74,65,65,18,373,383,380,217,217,217
3156,الوسطى,02/08/2023,صيفي,مدارس المعسكر - دير البلح,شرقي,400,75,55,40,34,360,365,360,210,207,209
